pathway	AH12	AH13	AH19	AH20	IA1	IA3	IA5	IA6	IA7	IA8	IA9	IA10	IA15	IA16	IA17	IA18	IA19	IA20	IA21
ko00010	10186	3119	2967	14039	952	624	4003	35305	30427	2980	601	3548	2850	1299	3028	2737	1177	1248	2118
ko00020	6621	682	1350	5356	292	207	899	6115	5273	792	199	1257	1018	372	837	1151	518	415	674
ko00030	6170	1135	1333	6057	445	268	1519	11304	9733	1167	254	1448	1205	544	1142	1110	494	529	837
ko00040	3652	314	595	2750	219	145	413	1911	1657	387	126	582	493	229	392	424	229	187	299
ko00051	6236	1935	1811	7904	561	380	2702	23386	20120	1965	372	2164	1762	869	1890	1623	674	717	1380
ko00052	2988	1824	1442	5813	586	415	2443	22519	19360	1803	402	2244	1848	757	1872	1702	747	694	1285
ko00053	3134	98	315	2050	23	29	132	382	347	103	14	107	69	79	77	83	29	51	67
ko00061	8955	665	1225	6992	311	202	618	2443	2144	577	172	964	744	378	697	785	372	323	450
ko00062	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00071	8953	399	968	5553	159	100	572	3748	3231	437	89	484	423	207	372	365	172	256	366
ko00072	2492	124	248	1555	39	15	142	1314	1128	97	17	117	104	45	103	83	32	68	94
ko00100	113	0	9	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00120	535	125	123	514	38	25	178	1802	1545	130	27	154	132	45	131	113	49	48	93
ko00121	75	129	97	292	38	27	199	1803	1546	147	28	161	138	52	138	122	54	56	105
ko00130	3729	228	512	2464	111	65	287	2175	1874	278	75	419	360	102	322	373	186	150	221
ko00140	836	17	88	473	22	16	23	3	3	30	12	106	80	24	52	64	22	26	38
ko00190	9260	1088	1799	7543	456	305	1468	11411	9818	1235	325	1738	1456	529	1280	1522	719	570	993
ko00195	1322	502	500	1925	198	141	666	5272	4536	534	132	661	549	233	537	545	271	225	383
ko00220	5977	408	974	4385	253	204	617	2241	1956	588	163	745	609	291	497	642	359	271	408
ko00230	13876	3505	3896	16778	1418	936	4472	34386	29632	3590	872	4575	3761	1596	3652	3690	1797	1577	2558
ko00232	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00240	8463	2912	2901	11584	1140	736	3767	30587	26332	2945	705	3707	3074	1314	2995	2932	1401	1242	2111
ko00250	8710	1242	1852	7536	554	391	1695	11459	9877	1409	351	1847	1525	636	1365	1544	761	625	1030
ko00253	17	0	1	13	0	0	0	0	0	0	0	3	3	2	1	2	0	4	3
ko00260	11367	919	1780	8387	498	375	1371	7909	6820	1195	327	1500	1256	592	1089	1208	644	533	871
ko00261	1627	233	343	1492	109	88	316	1981	1708	284	81	383	316	138	296	334	174	132	220
ko00270	9515	1313	1928	8875	665	490	1845	10492	9071	1605	417	2001	1652	799	1480	1674	877	761	1110
ko00280	13248	518	1361	8165	198	147	631	4078	3525	511	122	698	570	291	529	545	241	316	455
ko00281	2688	68	237	1445	17	10	102	656	564	66	8	57	53	32	52	42	16	47	67
ko00290	2292	157	390	1594	106	115	324	841	726	308	92	359	312	180	236	341	199	144	237
ko00300	4650	882	1186	4791	412	286	1168	6621	5718	981	247	1235	1003	471	935	1000	511	431	682
ko00310	6116	144	534	3373	48	23	196	1367	1178	138	24	156	148	84	123	113	45	122	163
ko00311	324	116	104	417	32	23	158	1717	1476	115	25	138	114	43	124	108	47	40	89
ko00330	10006	397	1126	6136	213	153	527	3033	2624	466	134	616	517	249	453	515	278	231	356
ko00332	406	37	88	373	30	29	64	28	30	68	21	81	66	36	50	72	44	32	43
ko00333	4794	243	541	3368	93	48	261	1450	1257	217	45	325	257	116	244	252	103	125	173
ko00340	4691	109	607	2514	107	129	383	58	53	369	94	368	316	197	197	348	210	155	271
ko00350	5682	394	730	3974	170	121	535	3737	3222	422	102	511	432	204	388	409	209	234	332
ko00360	5275	192	604	3423	99	85	315	753	662	265	56	289	233	153	185	252	128	155	214
ko00361	1065	36	93	680	13	13	43	34	32	28	6	26	15	28	17	23	10	9	13
ko00362	6793	357	727	4157	117	66	495	3499	3007	353	62	387	347	176	308	287	120	208	298
ko00363	122	0	9	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00364	1020	2	74	524	2	0	2	1	1	2	1	11	9	3	4	6	0	1	3
ko00365	123	0	9	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00380	7075	106	611	3743	43	23	149	715	617	116	20	132	115	60	97	112	51	75	108
ko00400	6091	279	907	3825	200	269	667	1465	1279	652	201	667	566	347	466	672	434	276	491
ko00401	1719	108	257	1174	52	70	211	708	614	183	48	177	143	96	126	170	102	76	129
ko00404	19	0	0	48	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ko00405	574	9	64	293	13	24	41	2	4	43	16	40	35	22	27	45	35	19	34
ko00410	7012	99	638	3813	56	35	124	97	96	123	29	171	138	67	108	147	71	72	93
ko00430	1349	255	290	1431	100	67	316	2650	2284	251	62	322	269	116	269	257	124	124	195
ko00440	994	49	130	653	30	20	86	351	304	72	15	82	66	36	53	57	29	35	49
ko00450	3381	407	674	3101	223	174	601	3577	3092	557	155	714	602	259	531	643	349	294	420
ko00460	1252	290	362	1318	129	93	443	3279	2819	362	90	473	393	170	360	351	166	123	267
ko00471	892	245	283	1029	108	62	329	2616	2249	266	63	347	295	109	271	282	135	116	192
ko00472	238	1	18	136	2	0	2	0	0	2	1	5	8	5	1	2	0	11	10
ko00473	954	238	238	1081	82	47	280	2627	2260	213	49	275	227	88	234	217	99	96	156
ko00480	4520	412	603	3567	132	81	483	4772	4108	361	81	478	389	146	405	381	167	164	263
ko00500	5613	4294	3115	14682	1085	871	5445	48568	41840	3873	764	4348	3356	1771	3883	3347	1399	1347	2584
ko00510	53	10	24	59	18	17	20	0	0	28	14	42	36	13	28	38	27	13	23
ko00511	253	155	200	403	124	109	273	1524	1314	259	93	463	365	153	299	312	157	95	231
ko00513	50	43	56	81	27	27	68	384	329	65	24	105	83	37	79	78	43	21	63
ko00514	14	1	0	9	3	4	5	0	0	6	3	7	7	4	1	6	5	4	3
ko00515	1	1	0	5	3	4	5	0	0	6	3	7	7	4	1	6	5	4	3
ko00520	9200	3641	3301	15115	1048	801	4736	41812	36047	3591	752	4387	3466	1581	3751	3485	1515	1434	2580
ko00521	1936	463	522	2379	176	141	610	4274	3683	482	119	626	495	230	484	501	238	206	341
ko00522	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ko00523	1159	231	286	1313	84	71	299	2058	1774	254	65	338	269	113	269	304	151	125	191
ko00524	241	140	112	488	45	34	186	1532	1320	140	30	176	140	64	141	135	58	64	101
ko00525	336	116	122	575	41	33	141	966	834	119	29	168	130	56	131	143	66	56	87
ko00531	216	84	115	214	54	56	126	718	616	117	48	187	149	73	140	136	80	32	113
